spruch,explanation,category,source,rating,id
"Auch Dornröschen trug kein Höschen.",,"Horny","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"60"
"Auch ein Anzug von BOSS macht aus Ihnen keinen CHEF.",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"61"
"Auch ein Hippie muss mal Pipi!",,"Pipikaka,Reim","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf","3","62"
"Auch ein Sonnenbrand hat seine Schattenseiten.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"63"
"Auch ein Spaßvogel kann es so weit treiben, dass er fliegt.",,"Tiere","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"64"
"Auch Fliegen werfen Schatten.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"65"
"Auch Glatzköpfe haben manchmal Glückssträhnen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"66"
"Auch Monster brauchen Liebe.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"67"
"Auch Wolkenkratzer haben mal als Keller angefangen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"68"
"Auf dem Baum, da saß ein Specht; der Baum war hoch, dem Specht war schlecht.",,"Tiere,Natur","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"69"
"Auf deutschem Boden darf nie wieder ein Joint ausgehen","umgedeutet aus: 'Von deutschem Boden soll nie wieder ein Krieg ausgehen'","Drogen","https://www.mundmische.de/bedeutung/41985-Auf_deutschem_Boden_darf_nie_wieder_ein_Joint_ausgehen","1","70"
"Auf die Pauke hauen will jeder, nur tragen will sie keiner.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"71"
"Auf diese Frage antworte ich mit einem entschiedenen Vielleicht.",,,"https://www.achtziger.de/spass/spontisprueche/",,"72"
"Auf jedem Schiff, das schwimmt und schwabbelt, ist einer drauf, der dämlich sabbelt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"73"
"Auf neuen Stühlen denkt sich's besser, sofern man mit dem Hintern denkt."," Ursprünglich französisch, vom Mai 68.",,"https://de.wikipedia.org/wiki/Sponti-Spr%C3%BCche",,"74"
"Baut keine neuen Atomraketen , bevor die alten nicht verbraucht sind.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"75"
"Behaltet euer Tränengas - es gibt genug zum Heulen.",,"Polizei","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"76"
"Bei diesem Neeklischee und Parföng ward's dem Alten zu eng.",,"Horny","https://de.wikipedia.org/wiki/Sponti-Spr%C3%BCche",,"77"
"Bei Dreckfuhlern muss man aufpassen wie ein Lachs.","Wexstabenverbuxelung von Druckfehler 
Lachs -> Luchs","Tiere","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"78"
"Bei manchen ist der Kopf eine Sicherungskopie des Hinterns.",,"Technik","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"79"
"Bei mir herrscht Ordnung: Ein Griff, und die Sucherei beginnt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"80"
"Beim Blick in den Spiegel: Ich kenn dich zwar nicht, aber ich putz dir trotzdem die Zähne.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"81"
